scenario,mean_ocei,std_ocei,corr_with_baseline_ocei,eui_ocei_pearson_r,eui_ocei_pearson_p,top10_overlap_with_baseline,electricity_share,natural_gas_share,district_heating_share,district_cooling_share
Baseline,48.70416284515448,7.558161927462758,1.0,0.9471016114005827,4.237211755384995e-58,1.0,0.2740764248336994,0.38802792058577806,0.2178467901695002,0.12004886441102246
Electricity Low 0.40,45.136239381452,7.464703557925193,0.997281302075555,0.954825306226385,6.522740514236564e-62,0.9090909090909091,0.21543140023544952,0.4193754449341195,0.23544592981063026,0.12974722501980077
Electricity High 0.70,52.272086308856935,7.691608596902118,0.9974395439414074,0.9346818328435812,4.954656010460975e-53,0.9090909090909091,0.32456399369176636,0.36104080096379976,0.20269567069156905,0.11169953465286468
Grid Decarbonisation 2030 0.40,45.136239381452,7.464703557925193,0.997281302075555,0.954825306226385,6.522740514236564e-62,0.9090909090909091,0.21543140023544952,0.4193754449341195,0.23544592981063026,0.12974722501980077
Grid Decarbonisation 2050 0.25,41.56831591774954,7.41274613525912,0.9889258995906952,0.957354838672839,2.623394136440748e-63,0.8181818181818182,0.14647812009024241,0.4562330410056948,0.25613853611956644,0.14115030278449642
High District Thermal Factors,54.06518165356907,7.998217193202705,0.9936840723136663,0.9121932130011451,5.4967763003235065e-46,1.0,0.24708727217574794,0.34981761194434197,0.26781101376717814,0.13528410211273204
